wellid,YEAR,AF Pumped
321605110501401,2001,104.0
321605110501401,2002,96.8
321605110501401,2003,97.1
321605110501401,2004,167.09
321605110501401,2005,145.17
321605110501401,2006,160.48
321605110501401,2007,180.56
321605110501401,2008,195.78
321605110501401,2009,175.98
321605110501401,2010,194.98
321605110501401,2011,214.13
321605110501401,2012,248.66
321605110501401,2013,221.13
321605110501401,2014,228.08
321605110501401,2015,77.65
321605110501401,2016,118.5
321605110501401,2017,77.13
321605110501401,2018,83.52
321605110501401,2019,92.55
321617110584401,1984,2.45
321617110584401,1985,27.0
321617110584401,1986,34.0
321617110584401,1987,31.0
321617110584401,1988,43.0
321617110584401,1989,73.0
321617110584401,1990,61.21
321617110584401,1991,20.78
321617110584401,1992,32.92
321617110584401,1993,5.86
321617110584401,1994,59.46
321617110584401,1995,61.43
321617110584401,1996,63.82
321617110584401,1997,27.49
321617110584401,1999,4.9
321617110584401,2000,22.13
321617110584401,2001,14.91
321617110584401,2002,0.95
321617110584401,2003,13.82
321617110584401,2004,34.92
321617110584401,2005,17.28
321617110584401,2006,12.64
321617110584401,2007,19.57
321617110584401,2008,46.25
321617110584401,2009,37.24
321617110584401,2010,28.59
321617110584401,2018,13.73
321617110584401,2019,6.61
321646110595701,1986,267.44
321646110595701,1987,292.92
321646110595701,1988,167.16
321646110595701,1989,26.06
321646110595701,1990,86.21
321646110595701,1991,9.83
321646110595701,1992,15.45
321646110595701,1993,9.23
321646110595701,1994,8.55
321646110595701,1995,10.72
321646110595701,1996,16.39
321646110595701,1997,29.77
321646110595701,1998,22.0
321646110595701,1999,43.0
321646110595701,2000,59.0
321646110595701,2001,48.0
321646110595701,2002,38.53
321646110595701,2003,12.13
321646110595701,2004,132.93
321646110595701,2005,619.87
321646110595701,2006,90.36
321646110595701,2007,638.33
321646110595701,2008,625.61
321646110595701,2009,676.56
321646110595701,2010,473.3
321646110595701,2011,452.7
321646110595701,2012,490.85
321646110595701,2013,403.56
321646110595701,2014,406.94
321646110595701,2015,223.54
321646110595701,2016,204.51
321646110595701,2017,237.01
321646110595701,2018,209.23
321646110595701,2019,379.84
321658111000901,1984,89.28
321658111000901,1985,190.93
321658111000901,1986,115.47
321658111000901,1987,228.69
